"S.No.","Commodity Group","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","2013-14","% Growth (2013-14/2012-13)"
"1","Machinery (41-44,50)","25948.77","31260.39","34409.49","29495.11","36935.63","43340.14","47599.7","49587","4.2"
"1","(a) Machinery excluding machine tools(41)","12241","14516","14593","12261","16877","21177","23546","22413","-4.8"
"1","(b) Electrical Machinery(44)","10639","13798","15162","12805","14793","15706","18062","21753","20.4"
"1","(c) Project Import(50)","1298","833","2380","2835","3021","3759","3074","2759","-10.2"
"1","(d) Ball or roller bearings(43)","547","547","589","472","731","833","913","945","3.5"
"1","(e) Machine tools & parts(42)","1223","1566","1686","1122","1514","1865","2005","1716","-14.4"
"2","Petroleum products","14132","18146","11174","7755","26282","20520","13704","15563","13.6"
"2","(a) Crude Oil(7)","7663","9054","2768","1752","13370","5196","844","781","-7.5"
"2","(b) Refined Petroleum Oils(8)","4712","6863","5829","3378","8736","5239","3755","3105","-17.3"
"2","(c) Other mineral fuels,Oils,waxes(9)","1758","2229","2577","2625","4177","10084","9106","11677","28.2"
"3","Chemicals(10,11,17)","7674","8346","8617","7298","10963","12015","17215","20188","17.3"
"4","Iron & Steel(28-32)","6490","8156","8636","6613","9886","11132","14163","11723","-17.2"
"5","Non-Ferrous Metals","3240","3746","3049","2654","4273","4847","5684","6839","20.3"
"5","(a) Copper(33)","824","1012","843","831","1380","1608","1631","2210","35.5"
"5","(b) Zinc(37)","352","247","119","187","187","199","295","290","-1.5"
"5","(c) Aluminium(35)","1048","1241","1149","975","1563","1911","2562","3040","18.7"
"5","(d) All other Non-Ferrous metals (34,36,38,39)","1017","1247","938","661","1143","1129","1197","1299","8.5"
"6","All other articles","6767","8176","9309","9456","14587","17971","26300","27401","4.2"
"6","(a) Gold (52)","3","848","674","1568","2936","3314","10298","8626","-16.2"
"6","(b) Articles other than Gold (52A)","6764","7329","8636","7888","11651","14657","16002","18775","17.3"
"7","Plastics(18)","3255","3875","3753","4436","6759","6934","9775","11386","16.5"
"8","Motor vehicles & parts(46)","3087","4352","4853","4112","6509","8127","9096","8098","-11"
"9","Baggage(51)","138","123","128","128","123","85","90","209","133.7"
"10","Instruments(48)","2304","2547","2550","2479","3119","3705","4448","5031","13.1"
"11","Photographic Goods(16)","405","395","350","287","305","288","378","349","-7.7"
"12","Rubber & articles(19)","1220","1464","1495","1469","2551","2961","3513","3665","4.3"
"13","Vegetable Oils(3)","4890","3555","344","240","217","262","660","1853","180.9"
"14","Aircrafts & vessels(47)","380.04","402.88","764.12","718.44","1122","1771","1905","1477.58","-22.4"
"15","Pulp,paper etc.(20)","1031","1193","1168","1026","1289","1515","1720","1976","14.9"
"16","M/M fibres & yarns(23-24)","449","441","393","519","801","934","1154","1333","15.4"
"17","Dyes,colors,Paints(13)","757","816","818","751","1096","1395","1715","1943","13.3"
"18","Fruits,dried & fresh(1)","502","539","515","568","796","864","1226","1400","14.2"
"19","Other commodities","6330","6780","7144","5844","8741","10231","13284","13004","-2.1"
"19","(a) Mineral Substances(5)","364","492","714","596","643","820","1063","1012","-4.7"
"19","(b) Misc. Articles of base metals(40)","614","725","762","667","1021","1315","1592","1847","16"
"19","(c) Wool & other animal hair(22)","43","61","51","40","54","67","88","98","10.7"
"19","(d) Glass & glassware(27)","435","450","417","401","540","642","837","863","3"
"19","(e) Ores,slag & ash(6)","2352","2062","1697","1257","2844","3166","4333","3323","-23.3"
"19","(f) Beverages,spirits & vinegar(4)","219","285","322","402","443","751","974","1233","26.6"
"19","(g) Pharmaceutical products(12)","397","511","897","595","587","476","613","672","9.7"
"19","(h) Others (2,14,15,21,25,26,45,49)","1906","2193","2283","1886","2610","2994","3784","3956","4.5"
"20","Gross Import Duties","88998","104314","99470","85847","136354","148896","173630","183024","5.4"
"21","Refunds (Import)","476","427","875","2264","3344","3020","2912","3822","31.3"
"22","Drawbacks","2655","3238","4015","2940","3024","6266","11089","12366","11.5"
"23","Net Import Duties","85867","100648","94580","80644","129986","139610","159629","166835","4.5"
"24","Net Export Duties","286","1826","3183","1035","3140","6414","2805","2805","0"
"25","Net Export Cess Duties","112","409","434","81","133","66","36","16","-54.9"
"26","Other receipts(Net)","732","1262","1875","2528","3434","3783","3544","4920","38.8"
